Timestamp,Battery Voltage Sensor,Battery Current Sensor,Battery Temperature Sensor,Motor RPM Sensor,Motor Temperature Sensor,Brake Pressure Sensor
1701441060.0,46.8,6.6,48.7,6402.181818181818,102.62704522486608,134.5
1701441070.0,46.4,6.5,47.9,6508.5,103.37545973356242,129.3
1701441080.0,46.1,6.6,46.9,6307.615384615385,59.07692307692308,130.5
1701441090.0,46.0,6.5,47.2,6480.071428571428,59.214285714285715,122.7
1701441100.0,45.6,6.6,46.5,6392.533333333334,104.8458029250451,118.5
1701441110.0,45.5,6.7,46.3,6323.625,61.5,114.1
1701441120.0,45.9,6.8,45.8,6118.176470588235,60.588235294117645,109.5
1701441130.0,45.9,7.0,45.0,6324.555555555556,61.333333333333336,111.2
1701441140.0,43.44299487502205,7.0,44.5,6379.9473684210525,63.0,106.5
1701441150.0,46.4,7.0,44.0,6359.15,64.2,107.4
1701441160.0,46.4,6.9,43.7,6346.142857142857,64.0952380952381,104.8
1701441170.0,46.8,7.0,43.2,6197.190476190476,64.66666666666667,100.4
1701441180.0,46.5,7.0,43.2,6196.857142857143,102.16277123005463,89.1
1701441190.0,46.7,7.2,42.8,6333.047619047619,62.714285714285715,96.44389390787042
1701441200.0,47.0,7.2,42.6,6322.428571428572,62.095238095238095,87.5
1701441210.0,47.1,7.2,42.5,6144.476190476191,59.714285714285715,87.9
1701441220.0,46.9,7.2,41.8,6034.571428571428,60.476190476190474,81.9
1701441230.0,47.1,7.3,40.8,6112.714285714285,58.666666666666664,73.6
1701441240.0,46.8,7.1,40.4,5923.619047619048,59.333333333333336,77.7
1701441250.0,46.8,7.2,39.7,6093.0952380952385,60.714285714285715,74.4
1701441260.0,46.7,7.0,41.0,6123.380952380952,58.95238095238095,82.5
1701441270.0,46.8,7.1,41.2,6028.047619047619,60.904761904761905,77.6
1701441280.0,46.9,7.3,41.1,5801.476190476191,63.857142857142854,75.9
1701441290.0,46.8,7.4,41.1,5799.0952380952385,61.76190476190476,80.2
1701441300.0,46.9,7.4,40.1,5699.0,61.57142857142857,86.8
1701441310.0,46.9,7.3,40.2,5648.523809523809,62.23809523809524,87.5
1701441320.0,47.3,7.2,41.0,5520.714285714285,61.42857142857143,88.9
1701441330.0,46.8,7.0,40.8,5532.047619047619,60.666666666666664,90.1
1701441340.0,46.8,6.8,40.8,5463.428571428572,58.857142857142854,90.4
1701441350.0,46.7,6.7,63.86272783500528,5558.428571428572,56.57142857142857,91.0
1701441360.0,46.3,6.6,41.3,5496.428571428572,56.666666666666664,96.3
1701441370.0,46.4,6.6,41.0,5337.952380952381,55.42857142857143,96.0
1701441380.0,46.4,6.6,62.35784745072691,5255.571428571428,102.08121994651206,94.79243442250572
1701441390.0,46.5,6.6,41.6,5079.857142857143,56.714285714285715,102.5
1701441400.0,46.6,6.4,40.8,4953.571428571428,58.0,108.5
1701441410.0,46.5,6.3,40.6,4953.666666666667,60.61904761904762,108.3
1701441420.0,40.01843119035125,6.3,40.7,5043.809523809524,100.5842279527394,107.6
1701441430.0,46.4,6.5,41.3,4938.0,63.04761904761905,113.2
1701441440.0,46.2,6.3,42.4,0.0,62.19047619047619,108.37840418821979
1701441450.0,46.0,6.6,43.0,4668.666666666667,60.95238095238095,107.6
1701441460.0,45.5,6.6,42.7,4547.952380952381,60.76190476190476,108.9
1701441470.0,45.5,7.898791061449363,41.7,4788.285714285715,63.23809523809524,99.9
1701441480.0,45.4,6.5,42.1,4965.619047619048,62.285714285714285,99.1
1701441490.0,45.8,6.3,42.1,5136.0952380952385,60.666666666666664,99.3
1701441500.0,46.3,6.1,61.168493052750264,5067.571428571428,61.23809523809524,91.1
